Date (YYYY-MM-DD),Event (No School / Half Day / Holiday / PD),School
2025-08-25 00:00:00,First Day (Half Day),Clio Schools
2025-08-28 00:00:00,No School,Clio Schools
2025-08-29 00:00:00,No School,Clio Schools
2025-09-01 00:00:00,No School,Clio Schools
2025-09-15 00:00:00,Early Release,Clio Schools
2025-10-14 00:00:00,Early Release,Clio Schools
2025-10-23 00:00:00,Half Day,Clio Schools
2025-10-24 00:00:00,No School,Clio Schools
2025-11-18 00:00:00,Early Release,Clio Schools
2025-11-26 00:00:00,No School,Clio Schools
2025-11-27 00:00:00,No School,Clio Schools
2025-11-28 00:00:00,No School,Clio Schools
2025-12-16 00:00:00,Early Release,Clio Schools
2025-12-22 00:00:00,No School,Clio Schools
2025-12-23 00:00:00,No School,Clio Schools
2025-12-24 00:00:00,No School,Clio Schools
2025-12-25 00:00:00,No School,Clio Schools
2025-12-26 00:00:00,No School,Clio Schools
2025-12-29 00:00:00,No School,Clio Schools
2025-12-30 00:00:00,No School,Clio Schools
2025-12-31 00:00:00,No School,Clio Schools
2026-01-01 00:00:00,No School,Clio Schools
2026-01-02 00:00:00,No School,Clio Schools
2026-01-12 00:00:00,Half Day,Clio Schools
2026-01-13 00:00:00,Half Day,Clio Schools
2026-01-19 00:00:00,No School,Clio Schools
2026-01-20 00:00:00,Early Release,Clio Schools
2026-02-13 00:00:00,Half Day,Clio Schools
2026-02-16 00:00:00,No School,Clio Schools
2026-02-17 00:00:00,Early Release,Clio Schools
2026-03-13 00:00:00,Half Day,Clio Schools
2026-03-16 00:00:00,Early Release,Clio Schools
2026-03-30 00:00:00,No School,Clio Schools
2026-03-31 00:00:00,No School,Clio Schools
2026-04-01 00:00:00,No School,Clio Schools
2026-04-02 00:00:00,No School,Clio Schools
2026-04-03 00:00:00,No School,Clio Schools
2026-04-20 00:00:00,Early Release,Clio Schools
2026-05-19 00:00:00,Early Release,Clio Schools
2026-05-25 00:00:00,No School,Clio Schools
2026-06-04 00:00:00,Half Day (Last Day),Clio Schools
2026-06-05 00:00:00,Half Day (Last Day),Clio Schools
2025-09-01 00:00:00,No School,Kearsley Schools
2025-09-26 00:00:00,No School,Kearsley Schools
2025-10-31 00:00:00,Half Day,Kearsley Schools
2025-11-05 00:00:00,No School,Kearsley Schools
2025-11-26 00:00:00,Half Day,Kearsley Schools
2025-11-27 00:00:00,No School,Kearsley Schools
2025-11-28 00:00:00,No School,Kearsley Schools
2025-12-19 00:00:00,Half Day,Kearsley Schools
2025-12-22 00:00:00,No School,Kearsley Schools
2025-12-23 00:00:00,No School,Kearsley Schools
2025-12-24 00:00:00,No School,Kearsley Schools
2025-12-25 00:00:00,No School,Kearsley Schools
2025-12-26 00:00:00,No School,Kearsley Schools
2025-12-29 00:00:00,No School,Kearsley Schools
2025-12-30 00:00:00,No School,Kearsley Schools
2025-12-31 00:00:00,No School,Kearsley Schools
2026-01-01 00:00:00,No School,Kearsley Schools
2026-01-02 00:00:00,No School,Kearsley Schools
2026-01-19 00:00:00,No School,Kearsley Schools
2026-01-23 00:00:00,Half Day,Kearsley Schools
2026-02-13 00:00:00,Half Day,Kearsley Schools
2026-02-16 00:00:00,No School,Kearsley Schools
2026-03-06 00:00:00,No School,Kearsley Schools
2026-03-27 00:00:00,Half Day,Kearsley Schools
2026-03-30 00:00:00,No School,Kearsley Schools
2026-03-31 00:00:00,No School,Kearsley Schools
2026-04-01 00:00:00,No School,Kearsley Schools
2026-04-02 00:00:00,No School,Kearsley Schools
2026-04-03 00:00:00,No School,Kearsley Schools
2026-05-22 00:00:00,Half Day,Kearsley Schools
2026-05-25 00:00:00,No School,Kearsley Schools
2026-06-09 00:00:00,Half Day,Kearsley Schools
2026-06-10 00:00:00,Half Day (Last Day of School),Kearsley Schools
2025-09-01 00:00:00,No School,Fenton Area Public Schools
2025-11-26 00:00:00,No School,Fenton Area Public Schools
2025-11-27 00:00:00,No School,Fenton Area Public Schools
2025-11-28 00:00:00,No School,Fenton Area Public Schools
2025-12-22 00:00:00,No School,Fenton Area Public Schools
2025-12-23 00:00:00,No School,Fenton Area Public Schools
2025-12-24 00:00:00,No School,Fenton Area Public Schools
2025-12-25 00:00:00,No School,Fenton Area Public Schools
2025-12-26 00:00:00,No School,Fenton Area Public Schools
2025-12-29 00:00:00,No School,Fenton Area Public Schools
2025-12-30 00:00:00,No School,Fenton Area Public Schools
2025-12-31 00:00:00,No School,Fenton Area Public Schools
2026-01-01 00:00:00,No School,Fenton Area Public Schools
2026-01-02 00:00:00,No School,Fenton Area Public Schools
2026-03-30 00:00:00,No School,Fenton Area Public Schools
2026-03-31 00:00:00,No School,Fenton Area Public Schools
2026-04-01 00:00:00,No School,Fenton Area Public Schools
2026-04-02 00:00:00,No School,Fenton Area Public Schools
2026-04-03 00:00:00,No School,Fenton Area Public Schools
2026-05-01 00:00:00,No School,Fenton Area Public Schools
2026-05-15 00:00:00,Half Day,Fenton Area Public Schools
2026-05-22 00:00:00,Half Day,Fenton Area Public Schools
2026-05-29 00:00:00,Half Day,Fenton Area Public Schools
2025-08-25 00:00:00,Half Day (First Day of School),Bentley Community Schools
2025-08-29 00:00:00,No School,Bentley Community Schools
2025-09-01 00:00:00,No School,Bentley Community Schools
2025-09-24 00:00:00,Half Day,Bentley Community Schools
2025-10-10 00:00:00,No School,Bentley Community Schools
2025-10-22 00:00:00,Half Day,Bentley Community Schools
2025-10-31 00:00:00,Half Day,Bentley Community Schools
2025-11-19 00:00:00,Half Day,Bentley Community Schools
2025-11-26 00:00:00,No School,Bentley Community Schools
2025-11-27 00:00:00,No School,Bentley Community Schools
2025-11-28 00:00:00,No School,Bentley Community Schools
2025-12-22 00:00:00,No School,Bentley Community Schools
2025-12-23 00:00:00,No School,Bentley Community Schools
2025-12-24 00:00:00,No School,Bentley Community Schools
2025-12-25 00:00:00,No School,Bentley Community Schools
2025-12-26 00:00:00,No School,Bentley Community Schools
2025-12-29 00:00:00,No School,Bentley Community Schools
2025-12-30 00:00:00,No School,Bentley Community Schools
2025-12-31 00:00:00,No School,Bentley Community Schools
2026-01-01 00:00:00,No School,Bentley Community Schools
2026-01-02 00:00:00,No School,Bentley Community Schools
2026-01-16 00:00:00,No School,Bentley Community Schools
2026-01-19 00:00:00,No School,Bentley Community Schools
2026-02-12 00:00:00,Half Day,Bentley Community Schools
2026-02-13 00:00:00,No School,Bentley Community Schools
2026-02-14 00:00:00,No School,Bentley Community Schools
2026-02-15 00:00:00,No School,Bentley Community Schools
2026-02-16 00:00:00,No School,Bentley Community Schools
2026-02-27 00:00:00,No School,Bentley Community Schools
2026-03-18 00:00:00,Half Day,Bentley Community Schools
2026-03-27 00:00:00,No School,Bentley Community Schools
2026-03-30 00:00:00,No School,Bentley Community Schools
2026-03-31 00:00:00,No School,Bentley Community Schools
2026-04-01 00:00:00,No School,Bentley Community Schools
2026-04-02 00:00:00,No School,Bentley Community Schools
2026-04-03 00:00:00,No School,Bentley Community Schools
2026-04-06 00:00:00,No School,Bentley Community Schools
2026-04-15 00:00:00,Half Day (Staff PL),Bentley Community Schools
2026-05-20 00:00:00,Half Day (Staff PL),Bentley Community Schools
2026-05-25 00:00:00,No School,Bentley Community Schools
2026-06-09 00:00:00,Half Day (Last Day of School),Bentley Community Schools
2025-08-25 00:00:00,First Day (All Students),Goodrich Area Schools
2025-09-01 00:00:00,No School,Goodrich Area Schools
2025-09-17 00:00:00,No School,Goodrich Area Schools
2025-09-26 00:00:00,No School (Homecoming),Goodrich Area Schools
2025-10-17 00:00:00,No School,Goodrich Area Schools
2025-10-22 00:00:00,Half Day (All Students),Goodrich Area Schools
2025-11-18 00:00:00,No School,Goodrich Area Schools
2025-11-21 00:00:00,No School,Goodrich Area Schools
2025-11-26 00:00:00,No School,Goodrich Area Schools
2025-11-27 00:00:00,No School,Goodrich Area Schools
2025-11-28 00:00:00,No School,Goodrich Area Schools
2025-12-19 00:00:00,Half Day (All Students),Goodrich Area Schools
2025-12-22 00:00:00,No School,Goodrich Area Schools
2025-12-23 00:00:00,No School,Goodrich Area Schools
2025-12-24 00:00:00,No School,Goodrich Area Schools
2025-12-25 00:00:00,No School,Goodrich Area Schools
2025-12-26 00:00:00,No School,Goodrich Area Schools
2025-12-29 00:00:00,No School,Goodrich Area Schools
2025-12-30 00:00:00,No School,Goodrich Area Schools
2025-12-31 00:00:00,No School,Goodrich Area Schools
2026-01-01 00:00:00,No School,Goodrich Area Schools
2026-01-02 00:00:00,No School,Goodrich Area Schools
2026-01-16 00:00:00,Half Day (End of Semester),Goodrich Area Schools
2026-02-13 00:00:00,No School,Goodrich Area Schools
2026-02-16 00:00:00,No School,Goodrich Area Schools
2026-03-06 00:00:00,No School,Goodrich Area Schools
2026-03-19 00:00:00,Half Day,Goodrich Area Schools
2026-03-30 00:00:00,No School,Goodrich Area Schools
2026-03-31 00:00:00,No School,Goodrich Area Schools
2026-04-01 00:00:00,No School,Goodrich Area Schools
2026-04-02 00:00:00,No School,Goodrich Area Schools
2026-04-03 00:00:00,No School,Goodrich Area Schools
2026-05-22 00:00:00,No School,Goodrich Area Schools
2026-05-25 00:00:00,No School,Goodrich Area Schools
2026-06-10 00:00:00,Half Day,Goodrich Area Schools
2026-06-11 00:00:00,Half Day (Last Day),Goodrich Area Schools
2025-08-18 00:00:00,First Day of School,Davison Community Schools
2025-08-22 00:00:00,No School,Davison Community Schools
2025-08-29 00:00:00,No School,Davison Community Schools
2025-09-01 00:00:00,No School,Davison Community Schools
2025-09-17 00:00:00,Early Release,Davison Community Schools
2025-09-29 00:00:00,No School,Davison Community Schools
2025-10-16 00:00:00,Delayed Start,Davison Community Schools
2025-10-17 00:00:00,No School,Davison Community Schools
2025-10-27 00:00:00,No School,Davison Community Schools
2025-10-28 00:00:00,No School,Davison Community Schools
2025-10-29 00:00:00,No School,Davison Community Schools
2025-10-30 00:00:00,No School,Davison Community Schools
2025-10-31 00:00:00,No School,Davison Community Schools
2025-11-03 00:00:00,No School,Davison Community Schools
2025-11-19 00:00:00,Early Release,Davison Community Schools
2025-11-27 00:00:00,No School,Davison Community Schools
2025-11-28 00:00:00,No School,Davison Community Schools
2025-12-22 00:00:00,No School,Davison Community Schools
2025-12-23 00:00:00,No School,Davison Community Schools
2025-12-24 00:00:00,No School,Davison Community Schools
2025-12-25 00:00:00,No School,Davison Community Schools
2025-12-26 00:00:00,No School,Davison Community Schools
2025-12-29 00:00:00,No School,Davison Community Schools
2025-12-30 00:00:00,No School,Davison Community Schools
2025-12-31 00:00:00,No School,Davison Community Schools
2026-01-01 00:00:00,No School,Davison Community Schools
2026-01-02 00:00:00,No School,Davison Community Schools
2026-01-19 00:00:00,No School,Davison Community Schools
2026-02-16 00:00:00,No School,Davison Community Schools
2026-02-17 00:00:00,No School,Davison Community Schools
2026-02-18 00:00:00,No School,Davison Community Schools
2026-02-19 00:00:00,No School,Davison Community Schools
2026-02-20 00:00:00,No School,Davison Community Schools
2026-02-23 00:00:00,No School,Davison Community Schools
2026-03-18 00:00:00,Early Release,Davison Community Schools
2026-03-30 00:00:00,No School,Davison Community Schools
2026-03-31 00:00:00,No School,Davison Community Schools
2026-04-01 00:00:00,No School,Davison Community Schools
2026-04-02 00:00:00,No School,Davison Community Schools
2026-04-03 00:00:00,No School,Davison Community Schools
2026-04-06 00:00:00,No School,Davison Community Schools
2026-05-13 00:00:00,Early Release,Davison Community Schools
2026-05-22 00:00:00,No School,Davison Community Schools
2026-05-25 00:00:00,No School,Davison Community Schools
2026-06-05 00:00:00,No School,Davison Community Schools
2026-06-12 00:00:00,No School,Davison Community Schools
2026-06-16 00:00:00,Half Day,Davison Community Schools
2026-06-17 00:00:00,Half Day,Davison Community Schools
2026-06-18 00:00:00,Half Day (Last Day of School),Davison Community Schools
2025-08-25 00:00:00,Early Release (First Day of School),Montrose Community Schools
2025-08-29 00:00:00,No School,Montrose Community Schools
2025-09-01 00:00:00,No School,Montrose Community Schools
2025-11-04 00:00:00,No School,Montrose Community Schools
2025-11-13 00:00:00,Early Release,Montrose Community Schools
2025-11-14 00:00:00,No School,Montrose Community Schools
2025-11-26 00:00:00,No School,Montrose Community Schools
2025-11-27 00:00:00,No School,Montrose Community Schools
2025-11-28 00:00:00,No School,Montrose Community Schools
2025-12-19 00:00:00,Early Release,Montrose Community Schools
2025-12-22 00:00:00,No School,Montrose Community Schools
2025-12-23 00:00:00,No School,Montrose Community Schools
2025-12-24 00:00:00,No School,Montrose Community Schools
2025-12-25 00:00:00,No School,Montrose Community Schools
2025-12-26 00:00:00,No School,Montrose Community Schools
2025-12-29 00:00:00,No School,Montrose Community Schools
2025-12-30 00:00:00,No School,Montrose Community Schools
2025-12-31 00:00:00,No School,Montrose Community Schools
2026-01-15 00:00:00,Early Release,Montrose Community Schools
2026-01-16 00:00:00,Early Release,Montrose Community Schools
2026-01-19 00:00:00,No School,Montrose Community Schools
2026-01-20 00:00:00,No School,Montrose Community Schools
2026-01-21 00:00:00,No School,Montrose Community Schools
2026-02-13 00:00:00,Early Release,Montrose Community Schools
2026-02-16 00:00:00,No School,Montrose Community Schools
2026-03-27 00:00:00,Early Release,Montrose Community Schools
2026-03-30 00:00:00,No School,Montrose Community Schools
2026-03-31 00:00:00,No School,Montrose Community Schools
2026-04-01 00:00:00,No School,Montrose Community Schools
2026-04-02 00:00:00,No School,Montrose Community Schools
2026-04-03 00:00:00,No School,Montrose Community Schools
2026-04-16 00:00:00,Early Release,Montrose Community Schools
2026-04-17 00:00:00,No School,Montrose Community Schools
2026-05-19 00:00:00,Early Release,Montrose Community Schools
2026-05-22 00:00:00,No School,Montrose Community Schools
2026-05-25 00:00:00,No School,Montrose Community Schools
2026-06-04 00:00:00,Early Release,Montrose Community Schools
2026-06-05 00:00:00,Early Release (Last Day of School),Montrose Community Schools
2025-08-29 00:00:00,No School,Mt. Morris Consolidated Schools
2025-09-01 00:00:00,No School,Mt. Morris Consolidated Schools
2025-09-10 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-09-24 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-10-08 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-10-24 00:00:00,No School,Mt. Morris Consolidated Schools
2025-10-31 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-11-05 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-11-26 00:00:00,No School,Mt. Morris Consolidated Schools
2025-11-27 00:00:00,No School,Mt. Morris Consolidated Schools
2025-11-28 00:00:00,No School,Mt. Morris Consolidated Schools
2025-12-17 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2025-12-22 00:00:00,No School,Mt. Morris Consolidated Schools
2026-01-14 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-01-16 00:00:00,Half Day,Mt. Morris Consolidated Schools
2026-01-19 00:00:00,No School,Mt. Morris Consolidated Schools
2026-01-28 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-02-16 00:00:00,No School,Mt. Morris Consolidated Schools
2026-02-18 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-03-04 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-03-18 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-03-20 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-03-30 00:00:00,No School,Mt. Morris Consolidated Schools
2026-04-08 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-04-22 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-05-06 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-05-20 00:00:00,Reduced Day,Mt. Morris Consolidated Schools
2026-05-22 00:00:00,No School,Mt. Morris Consolidated Schools
2026-05-25 00:00:00,No School,Mt. Morris Consolidated Schools
2026-06-05 00:00:00,Half Day (Last Day for Students),Mt. Morris Consolidated Schools
2025-08-25 00:00:00,First Day (Half Day),Atherton Community Schools
2025-08-29 00:00:00,No School,Atherton Community Schools
2025-09-01 00:00:00,No School,Atherton Community Schools
2025-09-17 00:00:00,Half Day,Atherton Community Schools
2025-10-08 00:00:00,Half Day,Atherton Community Schools
2025-10-31 00:00:00,Half Day (End of 1st Marking Period),Atherton Community Schools
2025-11-19 00:00:00,Half Day,Atherton Community Schools
2025-11-26 00:00:00,No School,Atherton Community Schools
2025-11-27 00:00:00,No School,Atherton Community Schools
2025-11-28 00:00:00,No School,Atherton Community Schools
2025-12-17 00:00:00,Half Day,Atherton Community Schools
2025-12-19 00:00:00,Half Day,Atherton Community Schools
2025-12-22 00:00:00,No School,Atherton Community Schools
2025-12-23 00:00:00,No School,Atherton Community Schools
2025-12-24 00:00:00,No School,Atherton Community Schools
2025-12-25 00:00:00,No School,Atherton Community Schools
2025-12-26 00:00:00,No School,Atherton Community Schools
2025-12-29 00:00:00,No School,Atherton Community Schools
2025-12-30 00:00:00,No School,Atherton Community Schools
2025-12-31 00:00:00,No School,Atherton Community Schools
2026-01-01 00:00:00,No School,Atherton Community Schools
2026-01-02 00:00:00,No School,Atherton Community Schools
2026-01-14 00:00:00,Half Day,Atherton Community Schools
2026-01-16 00:00:00,Half Day (End of Semester),Atherton Community Schools
2026-01-19 00:00:00,No School,Atherton Community Schools
2026-01-28 00:00:00,Half Day,Atherton Community Schools
2026-02-18 00:00:00,Half Day,Atherton Community Schools
2026-02-27 00:00:00,No School,Atherton Community Schools
2026-03-11 00:00:00,Half Day,Atherton Community Schools
2026-03-25 00:00:00,Half Day,Atherton Community Schools
2026-03-30 00:00:00,No School,Atherton Community Schools
2026-03-31 00:00:00,No School,Atherton Community Schools
2026-04-01 00:00:00,No School,Atherton Community Schools
2026-04-02 00:00:00,No School,Atherton Community Schools
2026-04-03 00:00:00,No School,Atherton Community Schools
2026-04-22 00:00:00,Half Day,Atherton Community Schools
2026-05-06 00:00:00,Half Day,Atherton Community Schools
2026-05-20 00:00:00,Half Day,Atherton Community Schools
2026-05-22 00:00:00,No School,Atherton Community Schools
2026-05-25 00:00:00,No School,Atherton Community Schools
2026-06-05 00:00:00,Half Day (Last Day of School),Atherton Community Schools
2025-08-25 00:00:00,Half Day (First Day of School),Bendle Public Schools
2025-08-29 00:00:00,No School,Bendle Public Schools
2025-09-01 00:00:00,No School,Bendle Public Schools
2025-10-31 00:00:00,Half Day,Bendle Public Schools
2025-11-04 00:00:00,No School,Bendle Public Schools
2025-11-26 00:00:00,No School,Bendle Public Schools
2025-11-27 00:00:00,No School,Bendle Public Schools
2025-11-28 00:00:00,No School,Bendle Public Schools
2025-12-18 00:00:00,Half Day,Bendle Public Schools
2025-12-19 00:00:00,Half Day,Bendle Public Schools
2025-12-22 00:00:00,No School,Bendle Public Schools
2025-12-23 00:00:00,No School,Bendle Public Schools
2025-12-24 00:00:00,No School,Bendle Public Schools
2025-12-25 00:00:00,No School,Bendle Public Schools
2025-12-26 00:00:00,No School,Bendle Public Schools
2025-12-29 00:00:00,No School,Bendle Public Schools
2025-12-30 00:00:00,No School,Bendle Public Schools
2025-12-31 00:00:00,No School,Bendle Public Schools
2026-01-01 00:00:00,No School,Bendle Public Schools
2026-01-02 00:00:00,No School,Bendle Public Schools
2026-01-19 00:00:00,No School,Bendle Public Schools
2026-02-13 00:00:00,No School,Bendle Public Schools
2026-02-14 00:00:00,No School,Bendle Public Schools
2026-02-15 00:00:00,No School,Bendle Public Schools
2026-02-16 00:00:00,No School,Bendle Public Schools
2026-03-05 00:00:00,Half Day,Bendle Public Schools
2026-03-06 00:00:00,No School,Bendle Public Schools
2026-03-20 00:00:00,Half Day,Bendle Public Schools
2026-03-27 00:00:00,Early Release,Bendle Public Schools
2026-03-30 00:00:00,No School,Bendle Public Schools
2026-03-31 00:00:00,No School,Bendle Public Schools
2026-04-01 00:00:00,No School,Bendle Public Schools
2026-04-02 00:00:00,No School,Bendle Public Schools
2026-04-03 00:00:00,No School,Bendle Public Schools
2026-04-15 00:00:00,Half Day,Bendle Public Schools
2026-05-01 00:00:00,No School,Bendle Public Schools
2026-05-22 00:00:00,No School,Bendle Public Schools
2026-05-25 00:00:00,No School,Bendle Public Schools
2026-06-09 00:00:00,Half Day,Bendle Public Schools
2026-06-10 00:00:00,Half Day (Last Day of School),Bendle Public Schools
2025-08-29 00:00:00,No School,Carman-Ainsworth Community Schools
2025-09-01 00:00:00,No School,Carman-Ainsworth Community Schools
2025-10-13 00:00:00,No School,Carman-Ainsworth Community Schools
2025-10-20 00:00:00,Half Day,Carman-Ainsworth Community Schools
2025-11-26 00:00:00,No School,Carman-Ainsworth Community Schools
2025-11-27 00:00:00,No School,Carman-Ainsworth Community Schools
2025-11-28 00:00:00,No School,Carman-Ainsworth Community Schools
2025-11-29 00:00:00,No School,Carman-Ainsworth Community Schools
2025-11-30 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-20 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-21 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-22 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-23 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-24 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-25 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-26 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-27 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-28 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-29 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-30 00:00:00,No School,Carman-Ainsworth Community Schools
2025-12-31 00:00:00,No School,Carman-Ainsworth Community Schools
2026-01-01 00:00:00,No School,Carman-Ainsworth Community Schools
2026-01-02 00:00:00,No School,Carman-Ainsworth Community Schools
2026-01-03 00:00:00,No School,Carman-Ainsworth Community Schools
2026-01-04 00:00:00,No School,Carman-Ainsworth Community Schools
2026-01-14 00:00:00,Half Day,Carman-Ainsworth Community Schools
2026-01-15 00:00:00,Half Day,Carman-Ainsworth Community Schools
2026-01-16 00:00:00,Half Day,Carman-Ainsworth Community Schools
2026-01-19 00:00:00,No School,Carman-Ainsworth Community Schools
2026-02-16 00:00:00,No School,Carman-Ainsworth Community Schools
2026-03-06 00:00:00,Half Day,Carman-Ainsworth Community Schools
2026-03-28 00:00:00,No School,Carman-Ainsworth Community Schools
2026-03-29 00:00:00,No School,Carman-Ainsworth Community Schools
2026-03-30 00:00:00,No School,Carman-Ainsworth Community Schools
2026-03-31 00:00:00,No School,Carman-Ainsworth Community Schools
2026-04-01 00:00:00,No School,Carman-Ainsworth Community Schools
